bin,swScore,milliDiv,milliDel,milliIns,genoName,genoStart,genoEnd,genoLeft,strand,repName,repClass,repFamily,repStart,repEnd,repLeft,id
680,2473,51,0,42,chr10,12569432,12569744,-121227678,+,AluY,SINE,Alu,5,303,-8,3
680,2249,101,0,0,chr10,12569919,12570206,-121227216,+,AluSg,SINE,Alu,1,287,-23,3
680,2384,99,0,3,chr10,12570396,12570700,-121226722,+,AluSq2,SINE,Alu,1,303,-10,3
680,1428,157,57,12,chr10,12570713,12570962,-121226460,+,AluSz,SINE,Alu,32,292,-20,3
680,640,218,6,83,chr10,12571091,12571164,-121226258,+,MER5A1,DNA,hAT-Charlie,1,68,-98,3
680,2217,113,0,25,chr10,12571164,12571483,-121225939,+,AluSx3,SINE,Alu,1,311,0,3
680,640,218,6,83,chr10,12571483,12571589,-121225833,+,MER5A1,DNA,hAT-Charlie,69,166,0,3
680,346,339,65,32,chr10,12571593,12571820,-121225602,+,L2c,LINE,L2,3144,3353,-22,3
680,1098,149,98,13,chr10,12572149,12572373,-121225049,+,THE1C,LTR,ERVL-MaLR,1,245,-130,3
680,1815,146,13,29,chr10,12572622,12572930,-121224492,-,AluJo,SINE,Alu,-9,303,1,3
680,1640,190,32,3,chr10,12573650,12573831,-121223591,-,AluJr,SINE,Alu,-2,310,124,3
680,26,0,0,0,chr10,12573831,12573856,-121223566,+,(T)n,Simple_repeat,Simple_repeat,1,25,0,3
680,1640,190,32,3,chr10,12573856,12573974,-121223448,-,AluJr,SINE,Alu,-193,119,2,3
680,186,353,58,104,chr10,12574006,12574290,-121223132,+,L2,LINE,L2,1897,2169,-1250,3
680,2028,147,39,0,chr10,12574290,12574468,-121222954,-,AluSz6,SINE,Alu,-1,311,134,3
680,31,0,0,0,chr10,12574468,12574497,-121222925,+,(T)n,Simple_repeat,Simple_repeat,1,29,0,3
680,2028,147,39,0,chr10,12574497,12574617,-121222805,-,AluSz6,SINE,Alu,-192,120,1,3
680,186,353,58,104,chr10,12574617,12574658,-121222764,+,L2,LINE,L2,2170,2206,-1213,3
680,2256,148,49,17,chr10,12574658,12575071,-121222351,-,MSTA,LTR,ERVL-MaLR,-1,427,1,3
680,2330,116,0,0,chr10,12575080,12575390,-121222032,-,AluSg4,SINE,Alu,0,310,1,3
680,1323,248,148,2,chr10,12575548,12576008,-121221414,+,Charlie7,DNA,hAT-Charlie,1,539,-2073,3
680,444,243,74,64,chr10,12576028,12576323,-121221099,+,Charlie7,DNA,hAT-Charlie,2314,2611,-1,3
680,2768,135,6,9,chr10,12576332,12576788,-121220634,-,MER1A,DNA,hAT-Charlie,0,529,30,3
680,454,257,27,53,chr10,12577399,12577588,-121219834,-,MamTip1,DNA,hAT-Tip100,-5,262,79,3
680,421,254,37,130,chr10,12577956,12578070,-121219352,-,MIRb,SINE,MIR,-9,259,152,3
680,1744,157,0,60,chr10,12578070,12578263,-121219159,-,AluJr,SINE,Alu,-8,304,124,3
680,2262,68,3,78,chr10,12578263,12578585,-121218837,+,AluSp,SINE,Alu,1,298,-15,3
680,1744,157,0,60,chr10,12578585,12578709,-121218713,-,AluJr,SINE,Alu,-189,123,6,3
680,421,254,37,130,chr10,12578709,12578802,-121218620,-,MIRb,SINE,MIR,-117,151,72,3
680,18,0,0,0,chr10,12580338,12580358,-121217064,+,(T)n,Simple_repeat,Simple_repeat,1,20,0,3
680,8076,72,13,1,chr10,12580893,12582754,-121214668,-,L1PB1,LINE,L1,0,6151,4270,3
681,836,130,8,8,chr10,12582956,12583079,-121214343,+,FLAM_C,SINE,Alu,2,124,-19,3
681,2304,102,7,0,chr10,12583591,12583896,-121213526,-,AluSc,SINE,Alu,-1,308,2,3
681,11,249,0,0,chr10,12584362,12584396,-121213026,+,(GATGAT)n,Simple_repeat,Simple_repeat,1,34,0,3
681,253,312,180,11,chr10,12584443,12584537,-121212885,-,MIRc,SINE,MIR,-56,212,106,3
681,2084,146,3,0,chr10,12584537,12584838,-121212584,+,AluJb,SINE,Alu,1,302,-10,3
681,253,312,180,11,chr10,12584838,12584918,-121212504,-,MIRc,SINE,MIR,-163,105,2,3
681,590,221,149,0,chr10,12585189,12585343,-121212079,-,MER5A,DNA,hAT-Charlie,-2,187,7,3
681,2264,133,33,25,chr10,12585449,12585810,-121211612,-,THE1B,LTR,ERVL-MaLR,0,364,1,3
681,1155,106,0,0,chr10,12586323,12586474,-121210948,+,AluSx,SINE,Alu,158,308,-4,3
681,12,245,0,24,chr10,12586732,12586773,-121210649,+,A-rich,Low_complexity,Low_complexity,1,41,0,3
681,206,227,128,0,chr10,12587068,12587143,-121210279,+,MIR3,SINE,MIR,101,186,-22,3
681,327,220,81,133,chr10,12587497,12587602,-121209820,+,MER5B,DNA,hAT-Charlie,73,171,-7,3
